idsku;ultimocusto
VIR-7657-ML;47.71
3292;47.69
7772;47.62
7578;47.2357
1265;47.17
1345;47.125
VIR-1345-ML;47.125
1642;47.07
8009;46.97773
VIR-PERSONALIZADO;46.9
7590;46.81
6791;46.77
VIR-3967-ML3;46.5
7840;46.392966
3368;46
1936;45.9
VIR-TIP-ML;45.7445
7618;45.705
7196;45.47
7434;45.2
7836;45.173
1829;45.098
VIR-1829-ML;45.098
VIR-596-ML;45.06432
VIR-2245-ML;45
VIR-2915-ML;45
VIR-2953-ML;45
VIR-5012-ML;45
VIR-557-KIT10;45
VIR-557-ML;45
VIR-7500-ML2;45
7770;44.869
6597;44.62
5826;44.51395
2388;44.5133
VIR-2664-ML;44.5
2507;44.41417
3550;44.36542
2686;44.3193
7693;44.03
1646;44
7748;43.99
7223;43.86
1080;43.8445
VIR-1080-ML;43.8445
2813;43.8
6861;43.8
7850;43.8
755;43.692666
VIR-755-ML;43.692666
4828;43.6186
VIR-3538-ML1;43.5967
VIR-2827-ML1;43.35
7729;43.156
4810;43.005
VIR-2470-ML;43
VIR-4548-ML;42.7
4301;42.627393
4315;42.5244
2165;42.34
VIR-2165-ML;42.34
7384;42.27
2497;42.14
871;41.916479
VIR-2596-ML;41.8
2602;41.7078
4246;41.49
VIR-4246-1;41.49
7397;41.4288
565;41.4
2297;41.23
VIR-7923-ML;41.1
7517;41.00333
VIR-7517-ML;41.00333
VIR-2390-ML;41
VIR-2472-ML;40.9816
VIR-5272-ML;40.92
VIR-2387-ML1;40.91535
4237;40.908
VIR-4237-1;40.908
7675;40.9
7516;40.855
VIR-7516-ML;40.855
3557;40.69832
VIR-LED2C-ML;40.6512
8049;40.58777
7668;40.5363
3367;40.445232
7547;40.32
7950;40.29666
VIR-666-ML;40.22
4786;40.181625
VIR-4786-ML;40.181625
7383;40.128
1864;40.0155
VIR-1864-ML;40.0155
3374;40
VIR-3030-ML;40
3937;39.99
2588;39.927878
2600;39.9
7733;39.89
VIR-2882-ML;39.8
7692;39.7698
7884;39.526197
7969;39.376
